source,target,weight
서울(1호선),시청(1호선),1
서울(1호선),서울(4호선),2
시청(1호선),종각(1호선),1
시청(1호선),시청(2호선),2
종각(1호선),종로3가(1호선),1
종로3가(1호선),종로5가(1호선),1
종로3가(1호선),종로3가(3호선),2
종로5가(1호선),동대문(1호선),1
동대문(1호선),신설동(1호선),1
동대문(1호선),동대문(4호선),2
신설동(1호선),제기동(1호선),1
신설동(1호선),신설동(2호선),1
제기동(1호선),청량리(서울시립대입구)(1호선),1
청량리(서울시립대입구)(1호선),동묘앞(1호선),1
동묘앞(1호선),동묘앞(6호선),2
시청(2호선),을지로입구(2호선),1
을지로입구(2호선),을지로3가(2호선),1
을지로3가(2호선),을지로4가(2호선),1
을지로3가(2호선),을지로3가(3호선),2
을지로4가(2호선),동대문역사문화공원(DDP)(2호선),1
을지로4가(2호선),을지로4가(5호선),2
동대문역사문화공원(DDP)(2호선),신당(2호선),1
동대문역사문화공원(DDP)(2호선),동대문역사문화공원(DDP)(4호선),2
동대문역사문화공원(DDP)(2호선),동대문역사문화공원(DDP)(5호선),2
신당(2호선),상왕십리(2호선),1
신당(2호선),신당(6호선),2
상왕십리(2호선),왕십리(성동구청)(2호선),1
왕십리(성동구청)(2호선),한양대(2호선),1
왕십리(성동구청)(2호선),왕십리(성동구청)(5호선),1
한양대(2호선),뚝섬(2호선),1
뚝섬(2호선),성수(2호선),1
성수(2호선),건대입구(2호선),1
건대입구(2호선),구의(광진구청)(2호선),1
건대입구(2호선),건대입구(7호선),2
구의(광진구청)(2호선),강변(동서울터미널)(2호선),1
강변(동서울터미널)(2호선),잠실나루(2호선),1
잠실나루(2호선),잠실(송파구청)(2호선),1
잠실(송파구청)(2호선),잠실새내(2호선),1
잠실(송파구청)(2호선),잠실(송파구청)(8호선),2
잠실새내(2호선),종합운동장(2호선),1
종합운동장(2호선),삼성(무역센터)(2호선),1
종합운동장(2호선),종합운동장(9호선),2
삼성(무역센터)(2호선),선릉(2호선),1
선릉(2호선),역삼(2호선),1
역삼(2호선),강남(2호선),1
강남(2호선),"교대(법원, 검찰청)(2호선)",1
"교대(법원, 검찰청)(2호선)",서초(2호선),1
"교대(법원, 검찰청)(2호선)","교대(법원, 검찰청)(3호선)",1
서초(2호선),방배(2호선),1
방배(2호선),사당(2호선),1
사당(2호선),낙성대(강감찬)(2호선),1
사당(2호선),사당(4호선),2
낙성대(강감찬)(2호선),서울대입구(관악구청)(2호선),1
서울대입구(관악구청)(2호선),봉천(2호선),1
봉천(2호선),신림(2호선),1
신림(2호선),신대방(2호선),1
신대방(2호선),구로디지털단지(2호선),1
구로디지털단지(2호선),대림(구로구청)(2호선),1
대림(구로구청)(2호선),신도림(2호선),1
대림(구로구청)(2호선),대림(구로구청)(7호선),2
신도림(2호선),문래(2호선),1
문래(2호선),영등포구청(2호선),1
영등포구청(2호선),당산(2호선),1
영등포구청(2호선),영등포구청(5호선),2
당산(2호선),합정(2호선),1
합정(2호선),홍대입구(2호선),1
합정(2호선),합정(6호선),2
홍대입구(2호선),신촌(지하)(2호선),1
신촌(지하)(2호선),이대(2호선),1
이대(2호선),아현(2호선),1
아현(2호선),충정로(경기대입구)(2호선),1
충정로(경기대입구)(2호선),용답(2호선),1
충정로(경기대입구)(2호선),충정로(경기대입구)(5호선),2
용답(2호선),신답(2호선),1
신답(2호선),신설동(2호선),1
신설동(2호선),도림천(2호선),1
도림천(2호선),양천구청(2호선),1
양천구청(2호선),신정네거리(2호선),1
신정네거리(2호선),용두(동대문구청)(2호선),1
지축(3호선),구파발(3호선),1
구파발(3호선),연신내(3호선),1
연신내(3호선),불광(3호선),1
연신내(3호선),연신내(6호선),1
불광(3호선),녹번(3호선),1
불광(3호선),불광(6호선),1
녹번(3호선),홍제(3호선),1
홍제(3호선),무악재(3호선),1
무악재(3호선),독립문(3호선),1
독립문(3호선),경복궁(정부서울청사)(3호선),1
경복궁(정부서울청사)(3호선),안국(3호선),1
안국(3호선),종로3가(3호선),1
종로3가(3호선),을지로3가(3호선),1
을지로3가(3호선),충무로(3호선),1
충무로(3호선),동대입구(3호선),1
충무로(3호선),충무로(4호선),1
동대입구(3호선),약수(3호선),1
약수(3호선),금호(3호선),1
약수(3호선),약수(6호선),2
금호(3호선),옥수(3호선),1
옥수(3호선),압구정(3호선),1
압구정(3호선),신사(3호선),1
신사(3호선),잠원(3호선),1
잠원(3호선),고속터미널(3호선),1
고속터미널(3호선),"교대(법원, 검찰청)(3호선)",1
고속터미널(3호선),고속터미널(7호선),2
"교대(법원, 검찰청)(3호선)",남부터미널(예술의전당)(3호선),1
남부터미널(예술의전당)(3호선),양재(서초구청)(3호선),1
양재(서초구청)(3호선),매봉(3호선),1
매봉(3호선),도곡(3호선),1
도곡(3호선),대치(3호선),1
대치(3호선),학여울(3호선),1
학여울(3호선),대청(3호선),1
대청(3호선),일원(3호선),1
일원(3호선),수서(3호선),1
수서(3호선),가락시장(3호선),1
가락시장(3호선),경찰병원(3호선),1
가락시장(3호선),가락시장(8호선),1
경찰병원(3호선),오금(3호선),1
오금(3호선),오금(5호선),1
당고개(4호선),상계(4호선),1
상계(4호선),노원(4호선),1
노원(4호선),창동(4호선),1
노원(4호선),노원(7호선),2
창동(4호선),쌍문(4호선),1
쌍문(4호선),수유(강북구청)(4호선),1
수유(강북구청)(4호선),미아(서울사이버대학)(4호선),1
미아(서울사이버대학)(4호선),미아사거리 (4호선),1
미아사거리 (4호선),길음(4호선),1
길음(4호선),성신여대입구(돈암)(4호선),1
성신여대입구(돈암)(4호선),한성대입구(삼선교)(4호선),1
한성대입구(삼선교)(4호선),혜화(4호선),1
혜화(4호선),동대문(4호선),1
동대문(4호선),동대문역사문화공원(DDP)(4호선),1
동대문역사문화공원(DDP)(4호선),충무로(4호선),1
동대문역사문화공원(DDP)(4호선),동대문역사문화공원(DDP)(5호선),2
충무로(4호선),명동(4호선),1
명동(4호선),회현(남대문시장)(4호선),1
회현(남대문시장)(4호선),서울(4호선),1
서울(4호선),숙대입구(갈월)(4호선),1
숙대입구(갈월)(4호선),삼각지(4호선),1
삼각지(4호선),신용산(4호선),1
삼각지(4호선),삼각지(6호선),2
신용산(4호선),이촌(국립중앙박물관)(4호선),1
이촌(국립중앙박물관)(4호선),동작(현충원)(4호선),1
동작(현충원)(4호선),이수(4호선),1
이수(4호선),사당(4호선),1
이수(4호선),이수(7호선),2
사당(4호선),남태령(4호선),1
방화(5호선),개화산(5호선),1
개화산(5호선),김포공항(5호선),1
김포공항(5호선),송정(5호선),1
송정(5호선),마곡(5호선),1
마곡(5호선),발산(5호선),1
발산(5호선),우장산(5호선),1
우장산(5호선),화곡(5호선),1
화곡(5호선),까치산(5호선),1
까치산(5호선),신정(은행정)(5호선),1
신정(은행정)(5호선),목동(5호선),1
목동(5호선),오목교(목동운동장앞)(5호선),1
오목교(목동운동장앞)(5호선),양평(5호선),1
양평(5호선),영등포구청(5호선),1
영등포구청(5호선),영등포시장(5호선),1
영등포시장(5호선),신길(5호선),1
신길(5호선),여의도(5호선),1
여의도(5호선),여의나루(5호선),1
여의나루(5호선),마포(5호선),1
마포(5호선),공덕(5호선),1
공덕(5호선),애오개(5호선),1
공덕(5호선),공덕(6호선),2
애오개(5호선),충정로(경기대입구)(5호선),1
충정로(경기대입구)(5호선),서대문(5호선),1
서대문(5호선),광화문(세종문화회관)(5호선),1
광화문(세종문화회관)(5호선),종로3가(탑골공원)(5호선),1
종로3가(탑골공원)(5호선),을지로4가(5호선),1
을지로4가(5호선),동대문역사문화공원(DDP)(5호선),1
동대문역사문화공원(DDP)(5호선),청구(5호선),1
청구(5호선),신금호(5호선),1
청구(5호선),청구(6호선),1
신금호(5호선),행당(5호선),1
행당(5호선),왕십리(성동구청)(5호선),1
왕십리(성동구청)(5호선),마장(5호선),1
마장(5호선),답십리(5호선),1
답십리(5호선),장한평(5호선),1
장한평(5호선),군자(능동)(5호선),1
군자(능동)(5호선),아차산(어린이대공원후문)(5호선),1
군자(능동)(5호선),군자(능동)(7호선),1
아차산(어린이대공원후문)(5호선),광나루(장신대)(5호선),1
광나루(장신대)(5호선),천호(풍납토성)(5호선),1
천호(풍납토성)(5호선),강동(5호선),1
천호(풍납토성)(5호선),천호(풍납토성)(8호선),1
강동(5호선),길동(5호선),1
길동(5호선),굽은다리(강동구민회관앞)(5호선),1
굽은다리(강동구민회관앞)(5호선),명일(5호선),1
명일(5호선),고덕(5호선),1
고덕(5호선),상일동(5호선),1
상일동(5호선),둔촌동(5호선),1
둔촌동(5호선),올림픽공원(한국체대)(5호선),1
올림픽공원(한국체대)(5호선),방이(5호선),1
올림픽공원(한국체대)(5호선),올림픽공원(한국체대)(9호선),1
방이(5호선),오금(5호선),1
오금(5호선),개롱(5호선),1
개롱(5호선),거여(5호선),1
거여(5호선),마천(5호선),1
마천(5호선),강일(5호선),1
강일(5호선),미사(5호선),1
미사(5호선),하남풍산(5호선),1
하남풍산(5호선),하남시청(덕풍?신장)(5호선),1
하남시청(덕풍?신장)(5호선),하남검단산(5호선),1
응암(6호선),역촌(6호선),1
역촌(6호선),불광(6호선),1
불광(6호선),독바위(6호선),1
독바위(6호선),연신내(6호선),1
연신내(6호선),구산(6호선),1
구산(6호선),새절(신사)(6호선),1
새절(신사)(6호선),증산(명지대앞)(6호선),1
증산(명지대앞)(6호선),디지털미디어시티(6호선),1
디지털미디어시티(6호선),월드컵경기장(성산)(6호선),1
월드컵경기장(성산)(6호선),마포구청(6호선),1
마포구청(6호선),망원(6호선),1
망원(6호선),합정(6호선),1
합정(6호선),상수(6호선),1
상수(6호선),광흥창(서강)(6호선),1
광흥창(서강)(6호선),대흥(서강대앞)(6호선),1
대흥(서강대앞)(6호선),공덕(6호선),1
공덕(6호선),효창공원앞(6호선),1
효창공원앞(6호선),삼각지(6호선),1
삼각지(6호선),녹사평(용산구청)(6호선),1
녹사평(용산구청)(6호선),이태원(6호선),1
이태원(6호선),한강진(6호선),1
한강진(6호선),버티고개(6호선),1
버티고개(6호선),약수(6호선),1
약수(6호선),청구(6호선),1
청구(6호선),신당(6호선),1
신당(6호선),동묘앞(6호선),1
동묘앞(6호선),창신(6호선),1
창신(6호선),보문(6호선),1
보문(6호선),안암(고대병원앞)(6호선),1
안암(고대병원앞)(6호선),고려대(종암)(6호선),1
고려대(종암)(6호선),월곡(동덕여대)(6호선),1
월곡(동덕여대)(6호선),상월곡(한국과학기술연구원)(6호선),1
상월곡(한국과학기술연구원)(6호선),돌곶이(6호선),1
돌곶이(6호선),석계(6호선),1
석계(6호선),태릉입구(6호선),1
태릉입구(6호선),화랑대(서울여대입구)(6호선),1
태릉입구(6호선),태릉입구(7호선),1
화랑대(서울여대입구)(6호선),봉화산(서울의료원)(6호선),1
봉화산(서울의료원)(6호선),신내(6호선),1
장암(7호선),도봉산(7호선),1
도봉산(7호선),수락산(7호선),1
수락산(7호선),마들(7호선),1
마들(7호선),노원(7호선),1
노원(7호선),중계(7호선),1
중계(7호선),하계(7호선),1
하계(7호선),공릉(서울과학기술대)(7호선),1
공릉(서울과학기술대)(7호선),태릉입구(7호선),1
태릉입구(7호선),먹골(7호선),1
먹골(7호선),중화(7호선),1
중화(7호선),상봉(시외버스터미널)(7호선),1
상봉(시외버스터미널)(7호선),면목(7호선),1
면목(7호선),사가정(7호선),1
사가정(7호선),용마산(용마폭포공원)(7호선),1
용마산(용마폭포공원)(7호선),중곡(7호선),1
중곡(7호선),군자(능동)(7호선),1
군자(능동)(7호선),어린이대공원(세종대)(7호선),1
어린이대공원(세종대)(7호선),건대입구(7호선),1
건대입구(7호선),자양(7호선),1
자양(7호선),청담(7호선),1
청담(7호선),강남구청(7호선),1
강남구청(7호선),학동(7호선),1
학동(7호선),논현(7호선),1
논현(7호선),반포(7호선),1
반포(7호선),고속터미널(7호선),1
고속터미널(7호선),내방(7호선),1
내방(7호선),이수(7호선),1
이수(7호선),남성(7호선),1
남성(7호선),숭실대입구(살피재)(7호선),1
숭실대입구(살피재)(7호선),상도(7호선),1
상도(7호선),장승배기(7호선),1
장승배기(7호선),신대방삼거리(7호선),1
신대방삼거리(7호선),보라매(7호선),1
보라매(7호선),신풍(7호선),1
신풍(7호선),대림(구로구청)(7호선),1
대림(구로구청)(7호선),남구로(7호선),1
남구로(7호선),가산디지털단지(7호선),1
가산디지털단지(7호선),철산(7호선),1
철산(7호선),광명사거리(7호선),1
광명사거리(7호선),천왕(7호선),1
천왕(7호선),온수(성공회대입구)(7호선),1
암사(8호선),천호(풍납토성)(8호선),1
천호(풍납토성)(8호선),강동구청(8호선),1
강동구청(8호선),몽촌토성(평화의문)(8호선),1
몽촌토성(평화의문)(8호선),잠실(송파구청)(8호선),1
잠실(송파구청)(8호선),석촌(8호선),1
석촌(8호선),송파(8호선),1
석촌(8호선),석촌(9호선),1
송파(8호선),가락시장(8호선),1
가락시장(8호선),문정(8호선),1
문정(8호선),장지(8호선),1
장지(8호선),복정(8호선),1
복정(8호선),남위례(8호선),1
남위례(8호선),산성(8호선),1
산성(8호선),남한산성입구(성남법원?검찰청)(8호선),1
남한산성입구(성남법원?검찰청)(8호선),단대오거리(8호선),1
단대오거리(8호선),신흥(8호선),1
신흥(8호선),수진(8호선),1
수진(8호선),모란(8호선),1
신논현역(9호선),언주(9호선),1
언주(9호선),선정릉(9호선),1
선정릉(9호선),삼성중앙(9호선),1
삼성중앙(9호선),봉은사(9호선),1
봉은사(9호선),종합운동장(9호선),1
종합운동장(9호선),삼전(9호선),1
삼전(9호선),석촌고분(9호선),1
석촌고분(9호선),석촌(9호선),1
석촌(9호선),송파나루(9호선),1
송파나루(9호선),한성백제(9호선),1
한성백제(9호선),올림픽공원(한국체대)(9호선),1
올림픽공원(한국체대)(9호선),둔촌오륜(9호선),1
둔촌오륜(9호선),중앙보훈병원(9호선),1
